universidad;candidateId
Certus;630665b8594e18004af056dd
Icpna;630665b8594e18004af056dd
Universidad Cesar Vallejo;630665b8594e18004af056ed
I. E 82 El Bosque;630665b8594e18004af056ed
Cica;630665b8594e18004af056ed
Uch Ciencias Y Humanidades;630665b8594e18004af05700
Certus;630665b8594e18004af05700
Universidad Peruana De Ciencias Aplicadas;630665b8594e18004af0570c
Universidad San Martin De Porres;630665b8594e18004af05713
Certus;630665b8594e18004af0571a
Universidad Peruana De Las Américas;630665b8594e18004af05721
Cimas;630665b8594e18004af05721
Universidad Nacional De Piura;630665b8594e18004af0572f
Instituto Idat;630665b8594e18004af05736
Cibertev;630665b8594e18004af0573e
Instituto Superior Sise;630665b8594e18004af05748
I.e.p San Juan;630665b8594e18004af05748
Universidad Privada Del Norte;630665b8594e18004af05751
Universidad Nacional San Luis Gonzaga;630665b8594e18004af05757
Intituto Superior Cibertec;630665b8594e18004af05762
San Ignacio De Loyola;630665b8594e18004af05768
Contabilidad;630665b8594e18004af0576e
Ifb;630665b8594e18004af0576e
